Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
Fetal_HCA_Stomach_Myeloid cells	Fetal	Digestive system	Fetal_HCA_Stomach	Myeloid cells	Myeloid cell	CL:0000763	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Neuroendocrine cells	Fetal	Digestive system	Fetal_HCA_Stomach	Neuroendocrine cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Parietal and chief cells	Fetal	Digestive system	Fetal_HCA_Stomach	Parietal and chief cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945
Fetal_HCA_Stomach_PDE1C_ACSM3 positive cells	Fetal	Digestive system	Fetal_HCA_Stomach	PDE1C_ACSM3 positive cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Squamous epithelial cells	Fetal	Digestive system	Fetal_HCA_Stomach	Squamous epithelial cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Stromal cells	Fetal	Digestive system	Fetal_HCA_Stomach	Stromal cells	Stromal cell	CL:0000499	Stomach	UBERON:0000945
Fetal_HCA_Stomach_Vascular endothelial cells	Fetal	Digestive system	Fetal_HCA_Stomach	Vascular endothelial cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945
Fetal_HCA_Thymus_Antigen presenting cells	Fetal	Lymphatic system	Fetal_HCA_Thymus	Antigen presenting cells	Professional antigen presenting cell	CL:0000145	Thymus	UBERON:0002370
Fetal_HCA_Thymus_Stromal cells	Fetal	Lymphatic system	Fetal_HCA_Thymus	Stromal cells	Stromal cell	CL:0000499	Thymus	UBERON:0002370
Fetal_HCA_Thymus_Thymic epithelial cells	Fetal	Lymphatic system	Fetal_HCA_Thymus	Thymic epithelial cells	Epithelial cell	CL:0000066	Thymus	UBERON:0002370
Fetal_HCA_Thymus_Thymocytes	Fetal	Lymphatic system	Fetal_HCA_Thymus	Thymocytes	Thymocyte	CL:0000893	Thymus	UBERON:0002370
Fetal_HCA_Thymus_Vascular endothelial cells	Fetal	Lymphatic system	Fetal_HCA_Thymus	Vascular endothelial cells	Endothelial cell	CL:0000115	Thymus	UBERON:0002370
FetalAdrenalGland_Antigen presenting cell (RPS high)	Fetal	Endocrine system	FetalAdrenalGland	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Adrenal gland	UBERON:0002369
FetalAdrenalGland_CB CD34+	Fetal	Endocrine system	FetalAdrenalGland	CB CD34+	Hematopoietic stem cell	CL:0000037	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Dendritic cell	Fetal	Endocrine system	FetalAdrenalGland	Dendritic cell	Dendritic cell	CL:0000451	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Endothelial cell	Fetal	Endocrine system	FetalAdrenalGland	Endothelial cell	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Erythroid cell	Fetal	Endocrine system	FetalAdrenalGland	Erythroid cell	Erythroid lineage cell	CL:0000764	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Erythroid progenitor cell (RP high)	Fetal	Endocrine system	FetalAdrenalGland	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fasciculata cell	Fetal	Endocrine system	FetalAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fetal endocrine cell	Fetal	Endocrine system	FetalAdrenalGland	Fetal endocrine cell	Endocrine cell	CL:0000163	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fetal enterocyte	Fetal	Endocrine system	FetalAdrenalGland	Fetal enterocyte	Enterocyte	CL:0000584	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fetal epithelial progenitor	Fetal	Endocrine system	FetalAdrenalGland	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fetal fibroblast	Fetal	Endocrine system	FetalAdrenalGland	Fetal fibroblast	Fibroblast	CL:0000057	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fetal mesenchymal progenitor	Fetal	Endocrine system	FetalAdrenalGland	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fetal neuron	Fetal	Endocrine system	FetalAdrenalGland	Fetal neuron	Neuron	CL:0000540	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Fetal stromal cell	Fetal	Endocrine system	FetalAdrenalGland	Fetal stromal cell	Stromal cell	CL:0000499	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Hepatocyte/Endodermal cell	Fetal	Endocrine system	FetalAdrenalGland	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Macrophage	Fetal	Endocrine system	FetalAdrenalGland	Macrophage	Macrophage	CL:0000235	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Monocyte	Fetal	Endocrine system	FetalAdrenalGland	Monocyte	Monocyte	CL:0000576	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Neutrophil	Fetal	Endocrine system	FetalAdrenalGland	Neutrophil	Neutrophil	CL:0000775	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Neutrophil (RPS high)	Fetal	Endocrine system	FetalAdrenalGland	Neutrophil (RPS high)	Neutrophil	CL:0000775	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Primordial germ cell	Fetal	Endocrine system	FetalAdrenalGland	Primordial germ cell	Primordial germ cell	CL:0000670	Adrenal gland	UBERON:0002369
FetalAdrenalGland_Smooth muscle cell	Fetal	Endocrine system	FetalAdrenalGland	Smooth muscle cell	Smooth muscle cell	CL:0000192	Adrenal gland	UBERON:0002369
FetalAdrenalGland_T cell	Fetal	Endocrine system	FetalAdrenalGland	T cell	T cell	CL:0000084	Adrenal gland	UBERON:0002369
FetalBrain_Erythroid cell	Fetal	Nervous system	FetalBrain	Erythroid cell	Erythroid lineage cell	CL:0000764	Brain	UBERON:0000955
FetalBrain_Fetal endocrine cell	Fetal	Nervous system	FetalBrain	Fetal endocrine cell	Endocrine cell	CL:0000163	Brain	UBERON:0000955
FetalBrain_Fetal epithelial progenitor	Fetal	Nervous system	FetalBrain	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Brain	UBERON:0000955
FetalBrain_Fetal mesenchymal progenitor	Fetal	Nervous system	FetalBrain	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Brain	UBERON:0000955
FetalBrain_Fetal neuron	Fetal	Nervous system	FetalBrain	Fetal neuron	Neuron	CL:0000540	Brain	UBERON:0000955
FetalBrain_Macrophage	Fetal	Nervous system	FetalBrain	Macrophage	Macrophage	CL:0000235	Brain	UBERON:0000955
FetalBrain_Primordial germ cell	Fetal	Nervous system	FetalBrain	Primordial germ cell	Primordial germ cell	CL:0000670	Brain	UBERON:0000955
FetalCalvaria_Endothelial cell	Fetal	Skeletal system	FetalCalvaria	Endothelial cell	Endothelial cell	CL:0000115	Vault of skull	UBERON:0004339
FetalCalvaria_Erythroid cell	Fetal	Skeletal system	FetalCalvaria	Erythroid cell	Erythroid lineage cell	CL:0000764	Vault of skull	UBERON:0004339
FetalCalvaria_Fetal chondrocyte	Fetal	Skeletal system	FetalCalvaria	Fetal chondrocyte	Chondrocyte	CL:0000138	Vault of skull	UBERON:0004339
FetalCalvaria_Fetal mesenchymal progenitor	Fetal	Skeletal system	FetalCalvaria	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Vault of skull	UBERON:0004339
FetalCalvaria_Fetal stromal cell	Fetal	Skeletal system	FetalCalvaria	Fetal stromal cell	Stromal cell	CL:0000499	Vault of skull	UBERON:0004339
FetalEyes_Endothelial cell	Fetal	Sensory system	FetalEyes	Endothelial cell	Endothelial cell	CL:0000115	Eye	UBERON:0000970
FetalEyes_Erythroid cell	Fetal	Sensory system	FetalEyes	Erythroid cell	Erythroid lineage cell	CL:0000764	Eye	UBERON:0000970
FetalEyes_Fetal epithelial progenitor	Fetal	Sensory system	FetalEyes	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Eye	UBERON:0000970
FetalEyes_Fetal mesenchymal progenitor	Fetal	Sensory system	FetalEyes	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Eye	UBERON:0000970
FetalEyes_Fetal neuron	Fetal	Sensory system	FetalEyes	Fetal neuron	Neuron	CL:0000540	Eye	UBERON:0000970
FetalEyes_Primordial germ cell	Fetal	Sensory system	FetalEyes	Primordial germ cell	Primordial germ cell	CL:0000670	Eye	UBERON:0000970
FetalFemaleGonad_Dendritic cell	Fetal	Reproductive system	FetalFemaleGonad	Dendritic cell	Dendritic cell	CL:0000451	Immature gonad	UBERON:2005272
FetalFemaleGonad_Endothelial cell	Fetal	Reproductive system	FetalFemaleGonad	Endothelial cell	Endothelial cell	CL:0000115	Immature gonad	UBERON:2005272
FetalFemaleGonad_Erythroid cell	Fetal	Reproductive system	FetalFemaleGonad	Erythroid cell	Erythroid lineage cell	CL:0000764	Immature gonad	UBERON:2005272
FetalFemaleGonad_Erythroid progenitor cell (RP high)	Fetal	Reproductive system	FetalFemaleGonad	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Immature gonad	UBERON:2005272
FetalFemaleGonad_Fetal epithelial progenitor	Fetal	Reproductive system	FetalFemaleGonad	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Immature gonad	UBERON:2005272
FetalFemaleGonad_Fetal fibroblast	Fetal	Reproductive system	FetalFemaleGonad	Fetal fibroblast	Fibroblast	CL:0000057	Immature gonad	UBERON:2005272
FetalFemaleGonad_Fetal mesenchymal progenitor	Fetal	Reproductive system	FetalFemaleGonad	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Immature gonad	UBERON:2005272
FetalFemaleGonad_Macrophage	Fetal	Reproductive system	FetalFemaleGonad	Macrophage	Macrophage	CL:0000235	Immature gonad	UBERON:2005272
FetalFemaleGonad_Primordial germ cell	Fetal	Reproductive system	FetalFemaleGonad	Primordial germ cell	Primordial germ cell	CL:0000670	Immature gonad	UBERON:2005272
FetalFemaleGonad_Smooth muscle cell	Fetal	Reproductive system	FetalFemaleGonad	Smooth muscle cell	Smooth muscle cell	CL:0000192	Immature gonad	UBERON:2005272
FetalFemaleGonad_T cell	Fetal	Reproductive system	FetalFemaleGonad	T cell	T cell	CL:0000084	Heart	UBERON:0000948
FetalHeart_Endothelial cell	Fetal	Cardiovascular system	FetalHeart	Endothelial cell	Endothelial cell	CL:0000115	Heart	UBERON:0000948
FetalHeart_Erythroid cell	Fetal	Cardiovascular system	FetalHeart	Erythroid cell	Erythroid lineage cell	CL:0000764	Heart	UBERON:0000948
FetalHeart_Fetal mesenchymal progenitor	Fetal	Cardiovascular system	FetalHeart	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Heart	UBERON:0000948
FetalHeart_Fetal neuron	Fetal	Cardiovascular system	FetalHeart	Fetal neuron	Neuron	CL:0000540	Heart	UBERON:0000948
FetalHeart_Macrophage	Fetal	Cardiovascular system	FetalHeart	Macrophage	Macrophage	CL:0000235	Heart	UBERON:0000948
FetalHeart_Smooth muscle cell	Fetal	Cardiovascular system	FetalHeart	Smooth muscle cell	Smooth muscle cell	CL:0000192	Heart	UBERON:0000948
FetalHeart_Stromal cell	Fetal	Cardiovascular system	FetalHeart	Stromal cell	Stromal cell	CL:0000499	Heart	UBERON:0000948
FetalHeart_Ventricle cardiomyocyte	Fetal	Cardiovascular system	FetalHeart	Ventricle cardiomyocyte	Fetal cardiomyocyte	CL:0002495	Heart	UBERON:0000948
FetalIntestine_CB CD34+	Fetal	Digestive system	FetalIntestine	CB CD34+	Hematopoietic stem cell	CL:0000037	Intestine	UBERON:0000160
FetalIntestine_Dendritic cell	Fetal	Digestive system	FetalIntestine	Dendritic cell	Dendritic cell	CL:0000451	Intestine	UBERON:0000160
FetalIntestine_Endothelial cell	Fetal	Digestive system	FetalIntestine	Endothelial cell	Endothelial cell	CL:0000115	Intestine	UBERON:0000160
FetalIntestine_Enterocyte progenitor	Fetal	Digestive system	FetalIntestine	Enterocyte progenitor	Enterocyte	CL:0000584	Intestine	UBERON:0000160
FetalIntestine_Erythroid cell	Fetal	Digestive system	FetalIntestine	Erythroid cell	Erythroid lineage cell	CL:0000764	Intestine	UBERON:0000160
FetalIntestine_Fetal enterocyte	Fetal	Digestive system	FetalIntestine	Fetal enterocyte	Enterocyte	CL:0000584	Intestine	UBERON:0000160
FetalIntestine_Fetal epithelial progenitor	Fetal	Digestive system	FetalIntestine	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Intestine	UBERON:0000160
FetalIntestine_Fetal mesenchymal progenitor	Fetal	Digestive system	FetalIntestine	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Intestine	UBERON:0000160
FetalIntestine_Fetal neuron	Fetal	Digestive system	FetalIntestine	Fetal neuron	Neuron	CL:0000540	Intestine	UBERON:0000160
FetalIntestine_Fetal stromal cell	Fetal	Digestive system	FetalIntestine	Fetal stromal cell	Stromal cell	CL:0000499	Intestine	UBERON:0000160
FetalIntestine_Hepatocyte/Endodermal cell	Fetal	Digestive system	FetalIntestine	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Intestine	UBERON:0000160
FetalIntestine_Macrophage	Fetal	Digestive system	FetalIntestine	Macrophage	Macrophage	CL:0000235	Intestine	UBERON:0000160
FetalIntestine_Smooth muscle cell	Fetal	Digestive system	FetalIntestine	Smooth muscle cell	Smooth muscle cell	CL:0000192	Intestine	UBERON:0000160
FetalIntestine_T cell	Fetal	Digestive system	FetalIntestine	T cell	T cell	CL:0000084	Intestine	UBERON:0000160
FetalKidney_Dendritic cell	Fetal	Urinary system	FetalKidney	Dendritic cell	Dendritic cell	CL:0000451	Kidney	UBERON:0002113
FetalKidney_Endothelial cell	Fetal	Urinary system	FetalKidney	Endothelial cell	Endothelial cell	CL:0000115	Kidney	UBERON:0002113
FetalKidney_Erythroid cell	Fetal	Urinary system	FetalKidney	Erythroid cell	Erythroid lineage cell	CL:0000764	Kidney	UBERON:0002113
FetalKidney_Erythroid progenitor cell (RP high)	Fetal	Urinary system	FetalKidney	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Kidney	UBERON:0002113
FetalKidney_Fetal epithelial progenitor	Fetal	Urinary system	FetalKidney	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Kidney	UBERON:0002113
FetalKidney_Fetal fibroblast	Fetal	Urinary system	FetalKidney	Fetal fibroblast	Fibroblast	CL:0000057	Kidney	UBERON:0002113
FetalKidney_Fetal mesenchymal progenitor	Fetal	Urinary system	FetalKidney	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Kidney	UBERON:0002113
FetalKidney_Fetal neuron	Fetal	Urinary system	FetalKidney	Fetal neuron	Neuron	CL:0000540	Kidney	UBERON:0002113
FetalKidney_Fetal stromal cell	Fetal	Urinary system	FetalKidney	Fetal stromal cell	Stromal cell	CL:0000499	Kidney	UBERON:0002113
FetalKidney_Intercalated cell	Fetal	Urinary system	FetalKidney	Intercalated cell	Renal intercalated cell	CL:0005010	Kidney	UBERON:0002113
FetalKidney_Intermediated cell	Fetal	Urinary system	FetalKidney	Intermediated cell	Kidney cell	CL:1000497	Kidney	UBERON:0002113
FetalKidney_Loop of Henle	Fetal	Urinary system	FetalKidney	Loop of Henle	Kidney loop of Henle epithelial cell	CL:1000909	Kidney	UBERON:0002113
FetalKidney_Macrophage	Fetal	Urinary system	FetalKidney	Macrophage	Macrophage	CL:0000235	Kidney	UBERON:0002113
FetalKidney_Neutrophil	Fetal	Urinary system	FetalKidney	Neutrophil	Neutrophil	CL:0000775	Kidney	UBERON:0002113
FetalKidney_Primordial germ cell	Fetal	Urinary system	FetalKidney	Primordial germ cell	Primordial germ cell	CL:0000670	Kidney	UBERON:0002113
FetalKidney_Proximal tubule progenitor	Fetal	Urinary system	FetalKidney	Proximal tubule progenitor	Epithelial cell of proximal tubule	CL:0002306	Kidney	UBERON:0002113
FetalKidney_Smooth muscle cell	Fetal	Urinary system	FetalKidney	Smooth muscle cell	Smooth muscle cell	CL:0000192	Kidney	UBERON:0002113
FetalKidney_Ureteric bud cell	Fetal	Urinary system	FetalKidney	Ureteric bud cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113
FetalLiver_Antigen presenting cell (RPS high)	Fetal	Digestive system	FetalLiver	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Liver	UBERON:0002107
FetalLiver_B cell	Fetal	Digestive system	FetalLiver	B cell	B cell	CL:0000236	Liver	UBERON:0002107
FetalLiver_CB CD34+	Fetal	Digestive system	FetalLiver	CB CD34+	Hematopoietic stem cell	CL:0000037	Liver	UBERON:0002107
FetalLiver_Dendritic cell	Fetal	Digestive system	FetalLiver	Dendritic cell	Dendritic cell	CL:0000451	Liver	UBERON:0002107
FetalLiver_Erythroid cell	Fetal	Digestive system	FetalLiver	Erythroid cell	Erythroid lineage cell	CL:0000764	Liver	UBERON:0002107
FetalLiver_Erythroid progenitor cell (RP high)	Fetal	Digestive system	FetalLiver	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Liver	UBERON:0002107
FetalLiver_Macrophage	Fetal	Digestive system	FetalLiver	Macrophage	Macrophage	CL:0000235	Liver	UBERON:0002107
FetalLiver_Monocyte	Fetal	Digestive system	FetalLiver	Monocyte	Monocyte	CL:0000576	Liver	UBERON:0002107
FetalLiver_Neutrophil	Fetal	Digestive system	FetalLiver	Neutrophil	Neutrophil	CL:0000775	Liver	UBERON:0002107
FetalLiver_Neutrophil (RPS high)	Fetal	Digestive system	FetalLiver	Neutrophil (RPS high)	Neutrophil	CL:0000775	Liver	UBERON:0002107
FetalLiver_T cell	Fetal	Digestive system	FetalLiver	T cell	T cell	CL:0000084	Liver	UBERON:0002107
FetalLung_Dendritic cell	Fetal	Respiratory system	FetalLung	Dendritic cell	Dendritic cell	CL:0000451	Lung	UBERON:0002048
FetalLung_Endothelial cell	Fetal	Respiratory system	FetalLung	Endothelial cell	Endothelial cell	CL:0000115	Lung	UBERON:0002048
FetalLung_Fetal chondrocyte	Fetal	Respiratory system	FetalLung	Fetal chondrocyte	Chondrocyte	CL:0000138	Lung	UBERON:0002048
FetalLung_Fetal epithelial progenitor	Fetal	Respiratory system	FetalLung	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Lung	UBERON:0002048
FetalLung_Fetal mesenchymal progenitor	Fetal	Respiratory system	FetalLung	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Lung	UBERON:0002048
FetalLung_Fetal stromal cell	Fetal	Respiratory system	FetalLung	Fetal stromal cell	Stromal cell	CL:0000499	Lung	UBERON:0002048
FetalLung_Macrophage	Fetal	Respiratory system	FetalLung	Macrophage	Macrophage	CL:0000235	Lung	UBERON:0002048
FetalLung_Proliferating T cell	Fetal	Respiratory system	FetalLung	Proliferating T cell	T cell	CL:0000084	Lung	UBERON:0002048
FetalLung_Smooth muscle cell	Fetal	Respiratory system	FetalLung	Smooth muscle cell	Smooth muscle cell	CL:0000192	Lung	UBERON:0002048
FetalLung_T cell	Fetal	Respiratory system	FetalLung	T cell	T cell	CL:0000084	Lung	UBERON:0002048
FetalMaleGonad_Endothelial cell	Fetal	Reproductive system	FetalMaleGonad	Endothelial cell	Endothelial cell	CL:0000115	Immature gonad	UBERON:2005272
FetalMaleGonad_Fetal epithelial progenitor	Fetal	Reproductive system	FetalMaleGonad	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Immature gonad	UBERON:2005272
FetalMaleGonad_Fetal fibroblast	Fetal	Reproductive system	FetalMaleGonad	Fetal fibroblast	Fibroblast	CL:0000057	Immature gonad	UBERON:2005272
FetalMaleGonad_Fetal mesenchymal progenitor	Fetal	Reproductive system	FetalMaleGonad	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Immature gonad	UBERON:2005272
FetalMaleGonad_Immature sertoli cell (Pre-Sertoli cell)	Fetal	Reproductive system	FetalMaleGonad	Immature sertoli cell (Pre-Sertoli cell)	Sertoli cell	CL:0000216	Immature gonad	UBERON:2005272
FetalMaleGonad_Primordial germ cell	Fetal	Reproductive system	FetalMaleGonad	Primordial germ cell	Primordial germ cell	CL:0000670	Immature gonad	UBERON:2005272
FetalMuscle_Dendritic cell	Fetal	Muscular system	FetalMuscle	Dendritic cell	Dendritic cell	CL:0000451	Muscle organ	UBERON:0001630
FetalMuscle_Endothelial cell	Fetal	Muscular system	FetalMuscle	Endothelial cell	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630
FetalMuscle_Erythroid cell	Fetal	Muscular system	FetalMuscle	Erythroid cell	Erythroid lineage cell	CL:0000764	Muscle organ	UBERON:0001630
FetalMuscle_Fetal epithelial progenitor	Fetal	Muscular system	FetalMuscle	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Muscle organ	UBERON:0001630
FetalMuscle_Fetal mesenchymal progenitor	Fetal	Muscular system	FetalMuscle	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Muscle organ	UBERON:0001630
FetalMuscle_Fetal neuron	Fetal	Muscular system	FetalMuscle	Fetal neuron	Neuron	CL:0000540	Muscle organ	UBERON:0001630
FetalMuscle_Fetal skeletal muscle cell	Fetal	Muscular system	FetalMuscle	Fetal skeletal muscle cell	Cell of skeletal muscle	CL:0000188	Muscle organ	UBERON:0001630
FetalMuscle_Fetal stromal cell	Fetal	Muscular system	FetalMuscle	Fetal stromal cell	Stromal cell	CL:0000499	Muscle organ	UBERON:0001630
FetalMuscle_Macrophage	Fetal	Muscular system	FetalMuscle	Macrophage	Macrophage	CL:0000235	Muscle organ	UBERON:0001630
FetalMuscle_Primordial germ cell	Fetal	Muscular system	FetalMuscle	Primordial germ cell	Primordial germ cell	CL:0000670	Muscle organ	UBERON:0001630
FetalMuscle_Smooth muscle cell	Fetal	Muscular system	FetalMuscle	Smooth muscle cell	Smooth muscle cell	CL:0000192	Muscle organ	UBERON:0001630
FetalPancreas_Antigen presenting cell (RPS high)	Fetal	Digestive system	FetalPancreas	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Pancreas	UBERON:0001264
FetalPancreas_B cell	Fetal	Digestive system	FetalPancreas	B cell	B cell	CL:0000236	Pancreas	UBERON:0001264
FetalPancreas_CB CD34+	Fetal	Digestive system	FetalPancreas	CB CD34+	Hematopoietic stem cell	CL:0000037	Pancreas	UBERON:0001264
FetalPancreas_Dendritic cell	Fetal	Digestive system	FetalPancreas	Dendritic cell	Dendritic cell	CL:0000451	Pancreas	UBERON:0001264
FetalPancreas_Endothelial cell	Fetal	Digestive system	FetalPancreas	Endothelial cell	Endothelial cell	CL:0000115	Pancreas	UBERON:0001264
FetalPancreas_Endothelial cell (APC)	Fetal	Digestive system	FetalPancreas	Endothelial cell (APC)	Endothelial cell	CL:0000115	Pancreas	UBERON:0001264
FetalPancreas_Erythroid cell	Fetal	Digestive system	FetalPancreas	Erythroid cell	Erythroid lineage cell	CL:0000764	Pancreas	UBERON:0001264
FetalPancreas_Fetal acinar cell	Fetal	Digestive system	FetalPancreas	Fetal acinar cell	Acinar cell	CL:0000622	Pancreas	UBERON:0001264
FetalPancreas_Fetal endocrine cell	Fetal	Digestive system	FetalPancreas	Fetal endocrine cell	Endocrine cell	CL:0000163	Pancreas	UBERON:0001264
FetalPancreas_Fetal epithelial progenitor	Fetal	Digestive system	FetalPancreas	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Pancreas	UBERON:0001264
FetalPancreas_Fetal fibroblast	Fetal	Digestive system	FetalPancreas	Fetal fibroblast	Fibroblast	CL:0000057	Pancreas	UBERON:0001264
FetalPancreas_Fetal mesenchymal progenitor	Fetal	Digestive system	FetalPancreas	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Pancreas	UBERON:0001264
FetalPancreas_Fetal neuron	Fetal	Digestive system	FetalPancreas	Fetal neuron	Neuron	CL:0000540	Pancreas	UBERON:0001264
FetalPancreas_Fetal stromal cell	Fetal	Digestive system	FetalPancreas	Fetal stromal cell	Stromal cell	CL:0000499	Pancreas	UBERON:0001264
