Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p
TS_Salivary_Gland_naive b cell	Adult	Digestive system	TS_Salivary_Gland	naive b cell	B cell	CL:0000236	Saliva-secreting gland	UBERON:0001044	0.941780117774421	0.804010178298471	0.871955719557196	0.950050186346059	0.0222534525243384
FetalPancreas_Antigen presenting cell (RPS high)	Fetal	Digestive system	FetalPancreas	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Pancreas	UBERON:0001264	0.95293464617865	0.795176707587951	0.883763837638376	0.950647364314844	0.0219805515517442
FetalPancreas_Dendritic cell	Fetal	Digestive system	FetalPancreas	Dendritic cell	Dendritic cell	CL:0000451	Pancreas	UBERON:0001264	0.95293464617865	0.795217793498232	0.883763837638376	0.950660172044037	0.0219747004981845
Fetal_HCA_Intestine_ENS neurons	Fetal	Digestive system	Fetal_HCA_Intestine	ENS neurons	Neuron	CL:0000540	Intestine	UBERON:0000160	0.952712332622551	0.797025573550618	0.881918819188192	0.950704997684647	0.0219542230763002
AdultLiver_Endothelial cell (APC)	Adult	Digestive system	AdultLiver	Endothelial cell (APC)	Endothelial cell	CL:0000115	Liver	UBERON:0002107	0.972612810253822	0.783097449965193	0.897785977859779	0.950755061868077	0.0219313537044189
FetalIntestine_CB CD34+	Fetal	Digestive system	FetalIntestine	CB CD34+	Hematopoietic stem cell	CL:0000037	Intestine	UBERON:0000160	0.959505659754341	0.792834810701906	0.888191881918819	0.951154218151062	0.0217490617565498
FetalIntestine_T cell	Fetal	Digestive system	FetalIntestine	T cell	T cell	CL:0000084	Intestine	UBERON:0000160	0.959505659754341	0.792875896612187	0.888191881918819	0.951167015297241	0.0217432186530066
Lake_2017_FrontalCortex_Ex4	Adult	Nervous system	Lake_2017_FrontalCortex	Ex4	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870	0.952647293622905	0.799737243629196	0.881180811808118	0.95133767902544	0.0216653020877147
AdultDuodenum_Macrophage	Adult	Digestive system	AdultDuodenum	Macrophage	Macrophage	CL:0000235	Duodenum	UBERON:0002114	0.978327176019035	0.777263250705221	0.909225092250923	0.952032737489265	0.0213481173019914
Madissoon_2020_oesophagus_T_CD8	Adult	Digestive system	Madissoon_2020_oesophagus	T_CD8	T cell	CL:0000084	Esophagus	UBERON:0001043	0.956295696321531	0.798874439513285	0.885608856088561	0.952304123131308	0.0212243353282848
Placenta_Smooth muscle cell	Adult	Reproductive system	Placenta	Smooth muscle cell	Smooth muscle cell	CL:0000192	Placenta	UBERON:0001987	0.969112576274663	0.791191374290646	0.89520295202952	0.952575865804536	0.0211004258484576
TS_Prostate_stromal cell	Adult	Reproductive system	TS_Prostate	stromal cell	Stromal cell	CL:0000499	Prostate gland	UBERON:0002367	0.976264011853852	0.7844121990942	0.903321033210332	0.952678997327456	0.0210534090926158
Madissoon_2020_oesophagus_NK_T_CD8_Cytotoxic	Adult	Digestive system	Madissoon_2020_oesophagus	NK_T_CD8_Cytotoxic	T cell	CL:0000084	Esophagus	UBERON:0001043	0.956295696321531	0.8003946181937	0.885608856088561	0.952768699441973	0.0210125188247332
AdultTrachea_B cell (Plasmocyte)	Adult	Respiratory system	AdultTrachea	B cell (Plasmocyte)	B cell	CL:0000236	Trachea	UBERON:0003126	0.971678901413457	0.790780515187831	0.896678966789668	0.952851144570751	0.0209749400131744
Fetal_HCA_Lung_Lymphoid cells	Fetal	Respiratory system	Fetal_HCA_Lung	Lymphoid cells	Innate lymphoid cell	CL:0001065	Lung	UBERON:0002048	0.957876253784938	0.799449642257225	0.887084870848708	0.952886694539866	0.0209587372017453
AdultAdrenalGland_Endothelial cell	Adult	Endocrine system	AdultAdrenalGland	Endothelial cell	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369	0.969156069508119	0.791766577034587	0.895940959409594	0.952954167733308	0.0209279862233393
Madissoon_2020_oesophagus_B_CD27pos	Adult	Digestive system	Madissoon_2020_oesophagus	B_CD27pos	B cell	CL:0000236	Esophagus	UBERON:0001043	0.956295696321531	0.801134164578767	0.885608856088561	0.952993784691439	0.0209099317677738
FetalAdrenalGland_Dendritic cell	Fetal	Endocrine system	FetalAdrenalGland	Dendritic cell	Dendritic cell	CL:0000451	Adrenal gland	UBERON:0002369	0.962554689578847	0.795916253973017	0.891512915129151	0.953020587829059	0.0208977173218235
FetalAdrenalGland_Fetal neuron	Fetal	Endocrine system	FetalAdrenalGland	Fetal neuron	Neuron	CL:0000540	Adrenal gland	UBERON:0002369	0.962554689578847	0.796244941255269	0.891512915129151	0.95312106458881	0.0208519321596301
FetalAdrenalGland_Neutrophil (RPS high)	Fetal	Endocrine system	FetalAdrenalGland	Neutrophil (RPS high)	Neutrophil	CL:0000775	Adrenal gland	UBERON:0002369	0.962554689578847	0.796327113075832	0.891512915129151	0.95314616487658	0.0208404952358821
AdultBladder_Mast cell	Adult	Urinary system	AdultBladder	Mast cell	Mast cell	CL:0000097	Bladder organ	UBERON:0018707	0.975189902483819	0.788192102840097	0.900738007380074	0.9531525634094	0.0208375797982807
AdultBladder_Dendritic cell	Adult	Urinary system	AdultBladder	Dendritic cell	Dendritic cell	CL:0000451	Bladder organ	UBERON:0018707	0.975189902483819	0.788233188750379	0.900738007380074	0.953165239570564	0.0208318040699769
TS_Prostate_erythroid progenitor	Adult	Reproductive system	TS_Prostate	erythroid progenitor	Erythroid progenitor cell	CL:0000038	Prostate gland	UBERON:0002367	0.975885263936538	0.788397532391505	0.901845018450184	0.953514130701238	0.0206728664983114
Fetal_HCA_Liver_Megakaryocytes	Fetal	Digestive system	Fetal_HCA_Liver	Megakaryocytes	Megakaryocyte	CL:0000556	Liver	UBERON:0002107	0.963798452037622	0.795628652601047	0.893726937269373	0.953535400812218	0.0206631787668962
Voigt_2019_retina_2_White blood cell 2	Adult	Sensory system	Voigt_2019_retina_2	White blood cell 2	Leukocyte	CL:0000738	Retina	UBERON:0000966	0.962360338960507	0.801627195502144	0.890036900369004	0.954350723062935	0.0202919931163658
AdultEsophagus_B cell (Plasmocyte)	Adult	Digestive system	AdultEsophagus	B cell (Plasmocyte)	B cell	CL:0000236	Esophagus	UBERON:0001043	0.976271872049483	0.791109202470083	0.904059040590406	0.954933232688339	0.0200269924881923
AdultHeart_T cell	Adult	Cardiovascular system	AdultHeart	T cell	T cell	CL:0000084	Heart	UBERON:0000948	0.9819506911912	0.773976377882702	0.928782287822878	0.956146062018975	0.0194757593102093
AdultHeart_Smooth muscle cell	Adult	Cardiovascular system	AdultHeart	Smooth muscle cell	Smooth muscle cell	CL:0000192	Heart	UBERON:0000948	0.9819506911912	0.774387236985517	0.928782287822878	0.956271924501973	0.0194185946293615
TS_Heart_macrophage	Adult	Cardiovascular system	TS_Heart	macrophage	Macrophage	CL:0000235	Heart	UBERON:0000948	0.978919142871862	0.788602961942912	0.912177121771218	0.956307651106525	0.0194023695609629
Madissoon_2020_spleen_B_naive	Adult	Lymphatic system	Madissoon_2020_spleen	B_naive	B cell	CL:0000236	Spleen	UBERON:0002106	0.976210310878427	0.797559690384277	0.902583025830258	0.956478185779409	0.0193249303974406
Madissoon_2020_lung_B_cell_naive	Adult	Respiratory system	Madissoon_2020_lung	B_cell_naive	B cell	CL:0000236	Lung	UBERON:0002048	0.974431533645638	0.802202398246085	0.899261992619926	0.956978249517372	0.0190979328834807
Madissoon_2020_lung_NK_Dividing	Adult	Respiratory system	Madissoon_2020_lung	NK_Dividing	Natural killer cell	CL:0000623	Lung	UBERON:0002048	0.974431533645638	0.802202398246085	0.899261992619926	0.956978249517372	0.0190979328834807
Voigt_2019_retina_1_B cell	Adult	Sensory system	Voigt_2019_retina_1	B cell	B cell	CL:0000236	Retina	UBERON:0000966	0.97820291600685	0.798093807217936	0.908118081180812	0.958072007608434	0.0186018486127235
Voigt_2019_retina_1_T/NK cell	Adult	Sensory system	Voigt_2019_retina_1	T/NK cell	T cell	CL:0000084	Retina	UBERON:0000966	0.97820291600685	0.798093807217936	0.908118081180812	0.958072007608434	0.0186018486127235
TS_Bladder_mast cell	Adult	Urinary system	TS_Bladder	mast cell	Mast cell	CL:0000097	Bladder organ	UBERON:0018707	0.978044983027269	0.800353532283418	0.90590405904059	0.958162119435918	0.0185610028007143
TS_Bladder_t cell	Adult	Urinary system	TS_Bladder	t cell	T cell	CL:0000084	Bladder organ	UBERON:0018707	0.978044983027269	0.803845834657345	0.90590405904059	0.959172428459317	0.0181033135831799
TS_Bladder_plasma cell	Adult	Urinary system	TS_Bladder	plasma cell	Plasma cell	CL:0000786	Bladder organ	UBERON:0018707	0.978044983027269	0.803845834657345	0.90590405904059	0.959172428459317	0.0181033135831799
TS_Bladder_b cell	Adult	Urinary system	TS_Bladder	b cell	B cell	CL:0000236	Bladder organ	UBERON:0018707	0.978044983027269	0.803845834657345	0.90590405904059	0.959172428459317	0.0181033135831799
